KEY,en,notes,sp,fr,de,it,pt-br,zh
FURNITURE_NAME_SET_BLOCK_T,“T” 方块,,Pieza T,Bloc «&nbsp;T&nbsp;»,„T“-Block,"Blocco ""T""","Bloco ""T""",“T” 方塊
FURNITURE_DESC_SET_BLOCK_T,,,,,,,,
FURNITURE_NAME_SET_BLOCK_SQUARE,“O” 方块,,Pieza O,Bloc «&nbsp;O&nbsp;»,„O“-Block,"Blocco ""O""","Bloco ""O""",“O” 方塊
FURNITURE_DESC_SET_BLOCK_SQUARE,,,,,,,,
FURNITURE_NAME_SET_BLOCK_7,翻转的 “L” 方块,,Pieza L girada,Bloc «&nbsp;L&nbsp;» renversé,Gespiegelter „L“-Block,"Blocco ""L"" capovolto","Bloco ""L"" invertido",翻轉的 “L” 方塊
FURNITURE_DESC_SET_BLOCK_7,,,,,,,,
FURNITURE_NAME_SET_BLOCK_SQUARE2,“O” 方块,,Pieza O,Bloc «&nbsp;O&nbsp;»,„O“-Block,"Blocco ""O""","Bloco ""O""",“O” 方塊
FURNITURE_DESC_SET_BLOCK_SQUARE2,,,,,,,,
FURNITURE_NAME_SET_BLOCK_LAYINGL,平放的“L”块,,Pieza L tumbada,Bloc «&nbsp;L&nbsp;» couché,Liegender „L“-Block,"Blocco ""L"" orizzontale","Bloco ""L"" deitado",平放的“L”塊
FURNITURE_DESC_SET_BLOCK_LAYINGL,,,,,,,,
FURNITURE_NAME_SET_BLOCK_I,“I”块,,Pieza I,Bloc «&nbsp;I&nbsp;»,„I“-Block,"Blocco ""I""","Bloco ""I""",“I”塊
FURNITURE_DESC_SET_BLOCK_I,,,,,,,,
FURNITURE_NAME_SET_BLOCK_SIDET,侧放的“T”块,,Pieza T de lado,Bloc «&nbsp;T&nbsp;» de côté,Seitlicher „T“-Block,"Blocco ""T"" laterale","Bloco ""T"" de lado",側放的“T”塊
FURNITURE_DESC_SET_BLOCK_SIDET,,,,,,,,
FURNITURE_NAME_SET_BLOCK_DOWNL,平放的“L”块,,Pieza L tumbada,Bloc «&nbsp;L&nbsp;» couché,Liegender „L“-Block,"Blocco ""L"" orizzontale","Bloco ""L"" deitado",平放的“L”塊
FURNITURE_DESC_SET_BLOCK_DOWNL,,,,,,,,
FURNITURE_NAME_SET_BLOCK_SIDEI,平放的“I”块,,Pieza I tumbada,Bloc «&nbsp;I&nbsp;» couché,Liegender „I“-Block,"Blocco ""I"" orizzontale","Bloco ""I"" deitado",平放的“I”塊
FURNITURE_DESC_SET_BLOCK_SIDEI,,,,,,,,
FURNITURE_NAME_SET_MONSTER_SHELF,怪物架,,Estante monstruoso,Étagère monstre,Monsterregal,Scaffale a forma di mostro,Estante monstruosa,怪物架
FURNITURE_DESC_SET_MONSTER_SHELF,,,,,,,,
FURNITURE_NAME_SET_MONSTER_DRESSER,怪物梳妆台,,Aparador monstruoso,Commode monstre,Monsterkleiderschrank,Comò a forma di mostro,Cômoda monstruosa,怪物梳妝檯
FURNITURE_DESC_SET_MONSTER_DRESSER,,,,,,,,
FURNITURE_NAME_SET_MONSTER_TABLE,怪物桌A,,Mesa monstruosa A,Table monstre A,Monstertisch A,Tavolo a forma di mostro A,Mesa monstruosa A,怪物桌A
FURNITURE_DESC_SET_MONSTER_TABLE,,,,,,,,
FURNITURE_NAME_SET_MONSTER_SUSPENDEDSHELF,悬挂怪物架A,,Estante monstruoso colgado A,Étagère suspendue monstre A,Monsterhängeregal A,Mensola sospesa a forma di mostro A,Prateleira monstruosa A,懸掛怪物架A
FURNITURE_DESC_SET_MONSTER_SUSPENDEDSHELF,,,,,,,,
FURNITURE_NAME_SET_MONSTER_SIDETABLE,怪物边桌,,Mesilla monstruosa,Table d'appoint monstre,Monsterbeistelltisch,Tavolino a forma di mostro,Mesa lateral monstruosa,怪物邊桌
FURNITURE_DESC_SET_MONSTER_SIDETABLE,,,,,,,,
FURNITURE_NAME_SET_MONSTER_SUSPENDEDSHELF2,悬挂怪物架B,,Estante monstruoso colgado B,Étagère suspendue monstre B,Monsterhängeregal B,Mensola sospesa a forma di mostro B,Prateleira monstruosa B,懸掛怪物架B
FURNITURE_DESC_SET_MONSTER_SUSPENDEDSHELF2,,,,,,,,
FURNITURE_NAME_SET_MONSTER_CHAIR,怪物椅,,Silla monstruosa,Chaise monstre,Monsterstuhl,Sedia a forma di mostro,Estante monstruosa,怪物椅
FURNITURE_DESC_SET_MONSTER_CHAIR,,,,,,,,
FURNITURE_NAME_SET_MONSTER_TABLE2,怪物桌B,,Mesa monstruosa B,Table monstre B,Monstertisch B,Tavolo a forma di mostro B,Mesa monstruosa B,怪物桌B
FURNITURE_DESC_SET_MONSTER_TABLE2,,,,,,,,
FURNITURE_NAME_SET_MONSTER_TV,怪物电视,,Tele monstruosa,TV monstre,Monsterfernseher,TV a forma di mostro,TV monstruosa,怪物電視
FURNITURE_DESC_SET_MONSTER_TV,,,,,,,,
FURNITURE_NAME_SET_MONSTER_LAMP,怪物灯,,Lámpara monstruosa,Lampe monstre,Monsterlampe,Lampada a forma di mostro,Luminária monstruosa,怪物燈
FURNITURE_DESC_SET_MONSTER_LAMP,,,,,,,,
FURNITURE_NAME_SET_ANGELIC_BED,天使床,,Cama angelical,Lit angélique,Engelbett,Letto angelico,Cama angelical,天使牀
FURNITURE_DESC_SET_ANGELIC_BED,,,,,,,,
FURNITURE_NAME_SET_ANGELIC_SHELF,天使架,,Estante angelical,Étagère angélique,Engelregal,Scaffale angelico,Estante angelical,天使架
FURNITURE_DESC_SET_ANGELIC_SHELF,,,,,,,,
FURNITURE_NAME_SET_ANGELIC_CHAIR,天使椅,,Silla angelical,Chaise angélique,Engelstuhl,Sedia angelica,Cadeira angelical,天使椅
FURNITURE_DESC_SET_ANGELIC_CHAIR,,,,,,,,
FURNITURE_NAME_SET_ANGELIC_DRESSER,天使梳妆台,,Aparador angelical,Commode angélique,Engelkleiderschrank,Comò angelico,Cômoda angelical,天使梳妝檯
FURNITURE_DESC_SET_ANGELIC_DRESSER,,,,,,,,
FURNITURE_NAME_SET_ANGELIC_SIDETABLE,天使边桌,,Mesilla angelical,Table d'appoint angélique,Engelbeistelltisch,Tavolino angelico,Mesa lateral angelical,天使邊桌
FURNITURE_DESC_SET_ANGELIC_SIDETABLE,,,,,,,,
FURNITURE_NAME_SET_ANGELIC_TOILET,天使马桶,,Retrete angelical,Toilettes angéliques,Engeltoilette,WC angelico,Privada angelical,天使馬桶
FURNITURE_DESC_SET_ANGELIC_TOILET,,,,,,,,
FURNITURE_NAME_SET_ANGELIC_TABLE,天使桌子 A,,Mesa angelical A,Table angélique A,Engeltisch A,Tavolo angelico A,Mesa angelical A,天使桌子 A
FURNITURE_DESC_SET_ANGELIC_TABLE,,,,,,,,
FURNITURE_NAME_SET_ANGELIC_TABLE2,天使桌子 B,,Mesa angelical B,Table angélique B,Engeltisch B,Tavolo angelico B,Mesa angelical B,天使桌子 B
FURNITURE_DESC_SET_ANGELIC_TABLE2,,,,,,,,
FURNITURE_NAME_SET_ANGELIC_SUSPENDEDSHELF,悬挂天使架,,Estante angelical colgado,Étagère suspendue angélique,Engelhängeregal,Mensola sospesa angelica,Prateleira angelical,懸掛天使架
FURNITURE_DESC_SET_ANGELIC_SUSPENDEDSHELF,,,,,,,,
FURNITURE_NAME_SET_ANGELIC_LAMP,天使灯,,Lámpara angelical,Lampe angélique,Engellampe,Lampada angelica,Luminária angelical,天使燈
FURNITURE_DESC_SET_ANGELIC_LAMP,,,,,,,,
FURNITURE_NAME_SET_ATOMIC_STOVE,原子炉灶,,Hornillo atómico,Cuisinière atomique,Radioaktiver Ofen,Stufa atomica,Fogão atômico,原子爐竈
FURNITURE_DESC_SET_ATOMIC_STOVE,,,,,,,,
FURNITURE_NAME_SET_ATOMIC_FRIGE,原子冰箱,,Nevera atómica,Frigo atomique,Radioaktiver Kühlschrank,Frigo atomico,Geladeira atômica,原子冰箱
FURNITURE_DESC_SET_ATOMIC_FRIGE,,,,,,,,
FURNITURE_NAME_SET_ATOMIC_COUCH,原子沙发,,Sofá atómico,Canapé atomique,Radioaktives Sofa,Divano atomico,Sofá atômico,原子沙發
FURNITURE_DESC_SET_ATOMIC_COUCH,,,,,,,,
FURNITURE_NAME_SET_ATOMIC_TV,原子电视,,Tele atómica,TV atomique,Radioaktiver Fernseher,TV atomica,TV atômica,原子電視
FURNITURE_DESC_SET_ATOMIC_TV,,,,,,,,
FURNITURE_NAME_SET_ATOMIC_TABLE,原子桌子,,Mesa atómica,Table atomique,Radioaktiver Tisch,Tavolo atomico,Mesa atômica,原子桌子
FURNITURE_DESC_SET_ATOMIC_TABLE,,,,,,,,
FURNITURE_NAME_SET_ATOMIC_SIDETABLE,原子边桌,,Mesilla atómica,Table d'appoint atomique,Radioaktiver Beistelltisch,Tavolino atomico,Mesa lateral atômica,原子邊桌
FURNITURE_DESC_SET_ATOMIC_SIDETABLE,,,,,,,,
FURNITURE_NAME_SET_ATOMIC_RADIO,原子收音机,,Radio atómica,Radio atomique,Radioaktives Radio,Radio atomica,Rádio atômico,原子收音機
FURNITURE_DESC_SET_ATOMIC_RADIO,,,,,,,,
FURNITURE_NAME_SET_ATOMIC_LAMP,原子灯,,Lámpara atómica,Lampe atomique,Radioaktive Lampe,Lampada atomica,Luminária atômica,原子燈
FURNITURE_DESC_SET_ATOMIC_LAMP,,,,,,,,
FURNITURE_NAME_SET_ATOMIC_SHELF,原子架子,,Estante atómico,Étagère atomique,Radioaktives Regal,Scaffale atomico,Estante atômica,原子架子
FURNITURE_DESC_SET_ATOMIC_SHELF,,,,,,,,
FURNITURE_NAME_SET_ATOMIC_CHAIR,原子椅子,,Silla atómica,Chaise atomique,Radioaktiver Stuhl,Sedia atomica,Cadeira atômica,原子椅子
FURNITURE_DESC_SET_ATOMIC_CHAIR,,,,,,,,
FURNITURE_NAME_SET_ELEGANT_TABLE,优雅桌子,,Mesa elegante,Table élégante,Stilvoller Tisch,Tavolo elegante,Mesa elegante,優雅桌子
FURNITURE_DESC_SET_ELEGANT_TABLE,,,,,,,,
FURNITURE_NAME_SET_ELEGANT_BED,优雅床,,Cama elegante,Lit élégant,Stilvolles Bett,Letto elegante,Cama elegante,優雅牀
FURNITURE_DESC_SET_ELEGANT_BED,,,,,,,,
FURNITURE_NAME_SET_ELEGANT_DESK,优雅书桌,,Escritorio elegante,Bureau élégant,Stilvoller Schreibtisch,Scrivania elegante,Escrivaninha elegante,優雅書桌
FURNITURE_DESC_SET_ELEGANT_DESK,,,,,,,,
FURNITURE_NAME_SET_ELEGANT_DRESSER,优雅梳妆台 A,,Aparador elegante A,Commode élégante A,Stilvoller Kleiderschrank A,Comò elegante A,Cômoda elegante A,優雅梳妝檯 A
FURNITURE_DESC_SET_ELEGANT_DRESSER,,,,,,,,
FURNITURE_NAME_SET_ELEGANT_DRESSER2,优雅梳妆台 B,,Aparador elegante B,Commode élégante B,Stilvoller Kleiderschrank B,Comò elegante B,Cômoda elegante B,優雅梳妝檯 B
FURNITURE_DESC_SET_ELEGANT_DRESSER2,,,,,,,,
FURNITURE_NAME_SET_ELEGANT_SIDETABLE,优雅的边桌 A,,Mesilla elegante A,Table d'appoint élégante A,Stilvoller Beistelltisch A,Tavolino elegante A,Mesa lateral elegante A,優雅的邊桌 A
FURNITURE_DESC_SET_ELEGANT_SIDETABLE,,,,,,,,
FURNITURE_NAME_SET_ELEGANT_SIDETABLE2,优雅的边桌 B,,Mesilla elegante B,Table d'appoint élégante B,Stilvoller Beistelltisch B,Tavolino elegante B,Mesa lateral elegante B,優雅的邊桌 B
FURNITURE_DESC_SET_ELEGANT_SIDETABLE2,,,,,,,,
FURNITURE_NAME_SET_ELEGANT_CHAIR,优雅的椅子,,Silla elegante,Chaise élégante,Stilvoller Stuhl,Sedia elegante,Cadeira elegante,優雅的椅子
FURNITURE_DESC_SET_ELEGANT_CHAIR,,,,,,,,
FURNITURE_NAME_SET_ELEGANT_SHELF,优雅的书架,,Estante elegante,Étagère élégante,Stilvolles Regal,Mensola elegante,Estante elegante,優雅的書架
FURNITURE_DESC_SET_ELEGANT_SHELF,,,,,,,,
FURNITURE_NAME_SET_ELEGANT_LAMP,优雅的灯,,Lámpara elegante,Lampe élégante,Stilvolle Lampe,Lampada elegante,Luminária elegante,優雅的燈
FURNITURE_DESC_SET_ELEGANT_LAMP,,,,,,,,
FURNITURE_NAME_SET_MODERN_BED,现代床,,Cama moderna,Lit moderne,Modernes Bett,Letto moderno,Cama moderna,現代牀
FURNITURE_DESC_SET_MODERN_BED,,,,,,,,
FURNITURE_NAME_SET_MODERN_FRIGE,现代冰箱,,Nevera moderna,Frigo moderne,Moderner Kühlschrank,Frigo moderno,Geladeira moderna,現代冰箱
FURNITURE_DESC_SET_MODERN_FRIGE,,,,,,,,
FURNITURE_NAME_SET_MODERN_STOVE,现代炉灶,,Hornillo moderno,Cuisinière moderne,Moderner Ofen,Stufa moderna,Fogão moderno,現代爐竈
FURNITURE_DESC_SET_MODERN_STOVE,,,,,,,,
FURNITURE_NAME_SET_MODERN_COUCH,现代沙发,,Sofá moderno,Canapé moderne,Modernes Sofa,Divano moderno,Sofá moderno,現代沙發
FURNITURE_DESC_SET_MODERN_COUCH,,,,,,,,
FURNITURE_NAME_SET_MODERN_CHAIR,现代椅子,,Silla moderna,Chaise moderne,Moderner Stuhl,Sedia moderna,Cadeira moderna,現代椅子
FURNITURE_DESC_SET_MODERN_CHAIR,,,,,,,,
FURNITURE_NAME_SET_MODERN_DRESSER,现代梳妆台,,Aparador moderno,Commode moderne,Moderner Kleiderschrank,Comò moderno,Cômoda moderna,現代梳妝檯
FURNITURE_DESC_SET_MODERN_DRESSER,,,,,,,,
FURNITURE_NAME_SET_MODERN_SIDETABLE,现代边桌,,Mesilla moderna,Table d'appoint moderne,Moderner Beistelltisch,Tavolino moderno,Mesa lateral moderna,現代邊桌
FURNITURE_DESC_SET_MODERN_SIDETABLE,,,,,,,,
FURNITURE_NAME_SET_MODERN_TABLE,现代桌子,,Mesa moderna,Table moderne,Moderner Tisch,Tavolo moderno,Mesa moderna,現代桌子
FURNITURE_DESC_SET_MODERN_TABLE,,,,,,,,
FURNITURE_NAME_SET_MODERN_DESK,现代书桌,,Escritorio moderno,Bureau moderne,Moderner Schreibtisch,Scrivania moderna,Escrivaninha moderna,現代書桌
FURNITURE_DESC_SET_MODERN_DESK,,,,,,,,
FURNITURE_NAME_SET_MODERN_TV,现代电视,,Tele moderna,TV moderne,Moderner Fernseher,TV moderna,TV moderna,現代電視
FURNITURE_DESC_SET_MODERN_TV,,,,,,,,
FURNITURE_NAME_SET_80S_COUCH,80 年代沙发,,Sofá ochentero,Canapé années&nbsp;80,80er-Sofa,Divano anni '80,Sofá anos 80,80 年代沙發
FURNITURE_DESC_SET_80S_COUCH,,,,,,,,
FURNITURE_NAME_SET_80S_BED,80 年代床,,Cama ochentera,Lit années&nbsp;80,80er-Bett,Letto anni '80,Cama anos 80,80 年代牀
FURNITURE_DESC_SET_80S_BED,,,,,,,,
FURNITURE_NAME_SET_80S_DRESSER,80 年代梳妆台,,Aparador ochentero,Commode années&nbsp;80,80er-Kleiderschrank,Comò anni '80,Cômoda anos 80,80 年代梳妝檯
FURNITURE_DESC_SET_80S_DRESSER,,,,,,,,
FURNITURE_NAME_SET_80S_CHAIR,80 年代椅子,,Silla ochentera,Chaise années&nbsp;80,80er-Stuhl,Sedia anni '80,Cadeira anos 80,80 年代椅子
FURNITURE_DESC_SET_80S_CHAIR,,,,,,,,
FURNITURE_NAME_SET_80S_STOVE,80 年代炉灶,,Hornillo ochentero,Cuisinière années&nbsp;80,80er-Ofen,Stufa anni '80,Fogão anos 80,80 年代爐竈
FURNITURE_DESC_SET_80S_STOVE,,,,,,,,
FURNITURE_NAME_SET_80S_FRIGE,80年代冰箱,,Nevera ochentera,Frigo années&nbsp;80,80er-Kühlschrank,Frigo anni '80,Geladeira anos 80,80年代冰箱
FURNITURE_DESC_SET_80S_FRIGE,,,,,,,,
FURNITURE_NAME_SET_80S_SHELF,80年代架子,,Estante ochentero,Étagère années&nbsp;80,80er-Regal,Scaffale anni '80,Prateleira anos 80,80年代架子
FURNITURE_DESC_SET_80S_SHELF,,,,,,,,
FURNITURE_NAME_SET_80S_TV,80年代电视,,Tele ochentera,TV années&nbsp;80,80er-Fernseher,TV anni '80,TV anos 80,80年代電視
FURNITURE_DESC_SET_80S_TV,,,,,,,,
FURNITURE_NAME_SET_80S_TABLE,80年代桌子,,Mesa ochentera,Table années&nbsp;80,80er-Tisch,Tavolo anni '80,Mesa anos 80,80年代桌子
FURNITURE_DESC_SET_80S_TABLE,,,,,,,,
FURNITURE_NAME_SET_80S_SIDETABLE,80年代边桌,,Mesilla ochentera,Table d'appoint années&nbsp;80,80er-Beistelltisch,Tavolino anni '80,Mesa lateral anos 80,80年代邊桌
FURNITURE_DESC_SET_80S_SIDETABLE,,,,,,,,
FURNITURE_NAME_SET_RETRO_BED,装饰艺术风格床,,Cama art déco,Lit art déco,Art Deco Bett,Letto Art Déco,Cama art déco,裝飾藝術風格牀
FURNITURE_DESC_SET_RETRO_BED,,,,,,,,
FURNITURE_NAME_SET_RETRO_STOVE,装饰艺术风格炉灶,,Hornillo art déco,Cuisinière art déco,Art Deco Ofen,Stufa Art Déco,Fogão art déco,裝飾藝術風格爐竈
FURNITURE_DESC_SET_RETRO_STOVE,,,,,,,,
FURNITURE_NAME_SET_RETRO_FRIGE,装饰艺术风格冰箱,,Nevera art déco,Frigo art déco,Art Deco Kühlschrank,Frigo Art Déco,Geladeira art déco,裝飾藝術風格冰箱
FURNITURE_DESC_SET_RETRO_FRIGE,,,,,,,,
FURNITURE_NAME_SET_RETRO_COUCH,装饰艺术风格沙发,,Sofá art déco,Canapé art déco,Art Deco Sofa,Divano Art Déco,Sofá art déco,裝飾藝術風格沙發
FURNITURE_DESC_SET_RETRO_COUCH,,,,,,,,
FURNITURE_NAME_SET_RETRO_CHAIR,装饰艺术风格椅子,,Silla art déco,Chaise art déco,Art Deco Stuhl,Sedia Art Déco,Cadeira art déco,裝飾藝術風格椅子
FURNITURE_DESC_SET_RETRO_CHAIR,,,,,,,,
FURNITURE_NAME_SET_RETRO_DRESSER,装饰艺术风格梳妆台,,Aparador art déco,Commode art déco,Art Deco Kleiderschrank,Comò Art Déco,Cômoda art déco,裝飾藝術風格梳妝檯
FURNITURE_DESC_SET_RETRO_DRESSER,,,,,,,,
FURNITURE_NAME_SET_RETRO_DRESSER2,装饰艺术风格梳妆柜,,Tocador art déco,Coiffeuse art déco,Art Deco Frisiertisch,Toeletta Art Déco,Penteadeira art déco,裝飾藝術風格梳妝櫃
FURNITURE_DESC_SET_RETRO_DRESSER2,,,,,,,,
FURNITURE_NAME_SET_RETRO_DRESSER3,装饰艺术风格衣柜,,Cómoda art déco,Armoire art déco,Art Deco Vertiko,Armadio Art Déco,Guarda-roupa art déco,裝飾藝術風格衣櫃
FURNITURE_DESC_SET_RETRO_DRESSER3,,,,,,,,
FURNITURE_NAME_SET_RETRO_SIDETABLE,装饰艺术风格边桌,,Mesilla art déco,Table d'appoint art déco,Art Deco Beistelltisch,Tavolino Art Déco,Mesa lateral art déco,裝飾藝術風格邊桌
FURNITURE_DESC_SET_RETRO_SIDETABLE,,,,,,,,
FURNITURE_NAME_SET_RETRO_LAMP,装饰艺术风格灯,,Lámpara art déco,Lampe art déco,Art Deco Lampe,Lampada Art Déco,Luminária art déco,裝飾藝術風格燈
FURNITURE_DESC_SET_RETRO_LAMP,,,,,,,,
FURNITURE_NAME_SET_90S_BED,90年代床,,Cama noventera,Lit années&nbsp;90,90er-Bett,Letto anni '90,Cama anos 90,90年代牀
FURNITURE_DESC_SET_90S_BED,,,,,,,,
FURNITURE_NAME_SET_90S_CABINET,悬挂式90年代橱柜,,Vitrina noventera colgada,Placard suspendu années&nbsp;90,90er-Hängeschrank,Armadietto sospeso anni '90,Armário suspenso anos 90,懸掛式90年代櫥櫃
FURNITURE_DESC_SET_90S_CABINET,,,,,,,,
FURNITURE_NAME_SET_90S_CABINET2,90年代橱柜,,Vitrina noventera,Placard années&nbsp;90,90er-Schrank,Armadietto anni '90,Armário anos 90,90年代櫥櫃
FURNITURE_DESC_SET_90S_CABINET2,,,,,,,,
FURNITURE_NAME_SET_90S_SINK,90年代洗手槽,,Lavabo noventero,Évier années&nbsp;90,90er-Waschbecken,Lavandino anni '90,Pia anos 90,90年代洗手槽
FURNITURE_DESC_SET_90S_SINK,,,,,,,,
FURNITURE_NAME_SET_90S_STOVE,90年代炉灶,,Hornillo noventero,Cuisinière années&nbsp;90,90er-Ofen,Stufa anni '90,Fogão anos 90,90年代爐竈
FURNITURE_DESC_SET_90S_STOVE,,,,,,,,
FURNITURE_NAME_SET_90S_FRIGE,90年代冰箱,,Nevera noventera,Frigo années&nbsp;90,90er-Kühlschrank,Frigorifero anni '90,Geladeira anos 90,90年代冰箱
FURNITURE_DESC_SET_90S_FRIGE,,,,,,,,
FURNITURE_NAME_SET_90S_SHELF,90年代架子,,Estante noventero,Étagère années&nbsp;90,90er-Regal,Scaffale anni '90,Estante anos 90,90年代架子
FURNITURE_DESC_SET_90S_SHELF,,,,,,,,
FURNITURE_NAME_SET_90S_SUSPENDEDSHELF,悬挂的90年代架子,,Estante noventero colgado,Étagère suspendue années&nbsp;90,90er-Hängeregal,Mensola sospesa anni '90,Prateleira anos 90,懸掛的90年代架子
FURNITURE_DESC_SET_90S_SUSPENDEDSHELF,,,,,,,,
FURNITURE_NAME_SET_90S_CHAIR,90年代椅子,,Silla noventera,Chaise années&nbsp;90,90er-Stuhl,Sedia anni '90,Cadeira anos 90,90年代椅子
FURNITURE_DESC_SET_90S_CHAIR,,,,,,,,
FURNITURE_NAME_SET_90S_STOOL,90年代凳子,,Taburete noventero,Tabouret années&nbsp;90,90er-Hocker,Sgabello anni '90,Banqueta anos 90,90年代凳子
FURNITURE_DESC_SET_90S_STOOL,,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_TABLE1,蘑菇桌A,,Mesa fúngica A,Table champignon A,Pilztisch A,Tavolo a forma di fungo A,Mesa cogumelo A,蘑菇桌A
FURNITURE_DESC_SET_MUSHROOM_TABLE1,,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_STOOL,蘑菇凳A,,Taburete fúngico A,Tabouret champignon A,Pilzhocker A,Sgabello a forma di fungo A,Banqueta cogumelo A,蘑菇凳A
FURNITURE_DESC_SET_MUSHROOM_STOOL,,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_STOOL2,蘑菇凳B,,Taburete fúngico B,Tabouret champignon B,Pilzhocker B,Sgabello a forma di fungo B,Banqueta cogumelo B,蘑菇凳B
FURNITURE_DESC_SET_MUSHROOM_STOOL2,,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_CHAIR,蘑菇椅,,Silla fúngica,Chaise champignon,Pilzstuhl,Sedia a forma di fungo,Cadeira cogumelo,蘑菇椅
FURNITURE_DESC_SET_MUSHROOM_CHAIR,,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_TABLE,蘑菇桌B,,Mesa fúngica B,Table champignon B,Pilztisch B,Tavolo a forma di fungo B,Mesa cogumelo B,蘑菇桌B
FURNITURE_DESC_SET_MUSHROOM_TABLE,,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_TOILET,蘑菇厕所,,Retrete fúngico,Toilettes champignon,Pilztoilette,WC a forma di fungo,Privada cogumelo,蘑菇廁所
FURNITURE_DESC_SET_MUSHROOM_TOILET,,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_SHELF,蘑菇架子,,Estante fúngico,Étagère champignon,Pilzregal,Mensola a forma di fungo,Estante cogumelo,蘑菇架子
FURNITURE_DESC_SET_MUSHROOM_SHELF,,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_SUSPENDEDSHELF,悬挂的蘑菇架A,,Estante fúngico colgado A,Étagère suspendue champignon A,Pilzhängeregal A,Mensola sospesa a forma di fungo A,Prateleira cogumelo A,懸掛的蘑菇架A
FURNITURE_DESC_SET_MUSHROOM_SUSPENDEDSHELF,,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_SUSPENDEDSHELF2,悬挂的蘑菇架B,,Estante fúngico colgado B,Étagère suspendue champignon B,Pilzhängeregal B,Mensola sospesa a forma di fungo B,Prateleira cogumelo B,懸掛的蘑菇架B
FURNITURE_DESC_SET_MUSHROOM_SUSPENDEDSHELF2,,,,,,,,
FURNITURE_NAME_SET_MUSHROOM_STOOL3,蘑菇凳C,,Taburete fúngico C,Tabouret champignon C,Pilzhocker C,Sgabello a forma di fungo C,Banqueta cogumelo C,蘑菇凳C
FURNITURE_DESC_SET_MUSHROOM_STOOL3,,,,,,,,
FURNITURE_NAME_SET_RUSTIC_DRESSER,乡村梳妆台,,Aparador rústico,Commode rustique,Rustikaler Kleiderschrank,Comò rustico,Cômoda rústica,鄉村梳妝檯
FURNITURE_DESC_SET_RUSTIC_DRESSER,,,,,,,,
FURNITURE_NAME_SET_RUSTIC_SHELF,悬挂的乡村架A,,Estante rústico colgado A,Étagère suspendue&nbsp;rustique A,Rustikales Hängeregal A,Mensola rustica sospesa A,Prateleira rústica A,懸掛的鄉村架A
FURNITURE_DESC_SET_RUSTIC_SHELF,,,,,,,,
FURNITURE_NAME_SET_RUSTIC_SUSPENDEDSHELF,悬挂的乡村架B,,Estante rústico colgado B,Étagère suspendue rustique B,Rustikales Hängeregal B,Mensola rustica sospesa B,Prateleira rústica B,懸掛的鄉村架B
FURNITURE_DESC_SET_RUSTIC_SUSPENDEDSHELF,,,,,,,,
FURNITURE_NAME_SET_RUSTIC_SIDETABLE,乡村边桌,,Mesilla rústica,Table d'appoint rustique,Rustikaler Beistelltisch,Tavolino rustico,Mesa lateral rústica,鄉村邊桌
FURNITURE_DESC_SET_RUSTIC_SIDETABLE,,,,,,,,
FURNITURE_NAME_SET_RUSTIC_SUSPENDEDSHELF2,悬挂的乡村香料架,,Especiero rústico colgado,Étagère à épices suspendue rustique,Rustikales Gewürzregal,Portaspezie rustico sospeso,Suporte de temperos rústico,懸掛的鄉村香料架
FURNITURE_DESC_SET_RUSTIC_SUSPENDEDSHELF2,,,,,,,,
FURNITURE_NAME_SET_RUSTIC_CHAIR,乡村椅子,,Silla rústica,Chaise rustique,Rustikaler Stuhl,Sedia rustica,Cadeira rústica,鄉村椅子
FURNITURE_DESC_SET_RUSTIC_CHAIR,,,,,,,,
FURNITURE_NAME_SET_RUSTIC_DESK,乡村书桌,,Escritorio rústico,Bureau rustique,Rustikaler Schreibtisch,Scrivania rustica,Escrivaninha rústica,鄉村書桌
FURNITURE_DESC_SET_RUSTIC_DESK,,,,,,,,
FURNITURE_NAME_SET_RUSTIC_BENCH,乡村长凳,,Banco rústico,Banc rustique,Rustikale Bank,Panca rustica,Banco rústico,鄉村長凳
FURNITURE_DESC_SET_RUSTIC_BENCH,,,,,,,,
FURNITURE_NAME_SET_RUSTIC_TABLE,乡村餐桌,,Mesa rústica,Table rustique,Rustikaler Tisch,Tavolo rustico,Mesa rústica,鄉村餐桌
FURNITURE_DESC_SET_RUSTIC_TABLE,,,,,,,,
FURNITURE_NAME_SET_RUSTIC_STOOL,乡村凳子,,Taburete rústico,Tabouret rustique,Rustikaler Hocker,Sgabello rustico,Banqueta rústica,鄉村凳子
FURNITURE_DESC_SET_RUSTIC_STOOL,,,,,,,,
FURNITURE_NAME_SET_CUTE_DRESSER,可爱梳妆台,,Aparador cuqui,Commode mimi,Süßer Kleiderschrank,Comò carino,Cômoda fofinha,可愛梳妝檯
FURNITURE_DESC_SET_CUTE_DRESSER,,,,,,,,
